0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:46:21 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:46:21 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:46:21 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:46:25 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:46:32 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:46:36 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:46:39 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:47:51 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:47:53 -0400] "POST /servletlabs-3/search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:48:24 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:48:26 -0400] "POST /servletlabs-3/search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:48:59 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:49:01 -0400] "POST /servletlabs-3/search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:49:26 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:49:28 -0400] "POST /servletlabs-3/search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:49:58 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:50:08 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:50:48 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:50:52 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:17 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:19 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:23 -0400] "POST /servletlabs-3/search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:44 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:45 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:45 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:45 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:45 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:46 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:46 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
