0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:50 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:50 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:50 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:50 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:50 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:50 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:51 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:51 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:51 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:51 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:51 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:52 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:52 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:52 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:52 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:52 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:52 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:53 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:53 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:53 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:53 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:53 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:53 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:54 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:54 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:54 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:54 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:54 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:54 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:54 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:54 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:55 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:55 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:45 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:46 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:46 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:46 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:47 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:47 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:47 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:48 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:48 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:48 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:48 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:48 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:48 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:49 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:49 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:49 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:49 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:50 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:50 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:50 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:50 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:50 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:50 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:51 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:51 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:51 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:51 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:52 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:52 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:52 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:52 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:52 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:53 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:53 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:53 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:53 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:53 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
